id,lat,lon,name,REGION_C
1295,1.344174718117414,103.69699029161318,Jurong West-Yunnan,WR
1296,1.3514096131176616,103.69698988925857,Jurong West-Yunnan,WR
1297,1.3586445076851965,103.69698948474216,Western Water Catchment-Bahar,WR
1298,1.3658794018177043,103.69698907806391,Western Water Catchment-Murai,WR
1299,1.3731142955128703,103.69698866922376,Western Water Catchment-Murai,WR
1300,1.3803491887683799,103.69698825822171,Western Water Catchment-Murai,WR
1301,1.3875840815819178,103.6969878450577,Western Water Catchment-Murai,WR
1302,1.3948189739511705,103.69698742973173,Western Water Catchment-Murai,WR
1303,1.4020538658738222,103.69698701224374,Western Water Catchment-Murai,WR
1304,1.4092887573475588,103.69698659259373,Western Water Catchment-Murai,WR
345,1.4165236483700652,103.69698617078161,Western Water Catchment-Murai,WR
1305,1.4165236483700652,103.69698617078161,Western Water Catchment-Murai,WR
1306,1.4237585389390273,103.6969857468074,Western Water Catchment-Murai,WR
346,1.4237585389390273,103.6969857468074,Western Water Catchment-Murai,WR
1307,1.4309934290521307,103.69698532067105,Lim Chu Kang-Lim Chu Kang,NR
347,1.4309934290521307,103.69698532067105,Lim Chu Kang-Lim Chu Kang,NR
348,1.438228318707061,103.69698489237253,,
929,1.3152343439292116,103.98335721745981,,
930,1.322469236290534,103.98335765067733,Changi-Changi Airport,ER
931,1.3297041282283786,103.98335808627346,Changi-Changi Airport,ER
932,1.3369390197404325,103.98335852424822,Changi-Changi Airport,ER
933,1.3441739108243786,103.98335896460169,Changi-Changi Airport,ER
1308,1.2392683636046797,103.69077074423087,,
934,1.3514088014779035,103.9833594073339,Changi-Changi Airport,ER
1309,1.2465032626930632,103.69077035627895,,
935,1.3586436916986913,103.98335985244485,Changi-Changi Airport,ER
1310,1.2537381613822922,103.69076996606695,,
936,1.3658785814844274,103.98336029993462,Changi-Changi Airport,ER
1311,1.2609730596700512,103.69076957359488,,
937,1.3731134708327966,103.9833607498032,Changi-Changi West,ER
1312,1.2682079575540253,103.69076917886268,Western Islands-Jurong Island And Bukom,WR
938,1.3803483597414845,103.98336120205066,Changi-Changi West,ER
1313,1.2754428550318988,103.69076878187033,Western Islands-Jurong Island And Bukom,WR
939,1.3875832482081756,103.983361656677,Changi-Changi West,ER
